fname, lname, age
David, MERCADO, 16
Jack, HAHN, 16
Claire, WOLFE, 38
Melanie, POWELL, Faith, CHAVEZ, 49
Diana, LAWSON, 45
Ryan, BUCHANAN, 10
Summer, BARAJAS, 25
William, THOMAS, Daisy, BENNETT, 43
Erica, VINCENT, 46
Christian, AHMED, 28
Parker, LOGAN, 36
Javier, HAYDEN, 18
Dana, PARKS, 49
Anthony, SANDOVAL, 10
Lindsay, BURGESS, 43
Christian, CARR, 11
Charles, LI, 30
Michaela, , 39
Michael, DENNIS, 49
Hayley, , 48
Erin, HAMILTON, 19
David, CARPENTER, 45
Yesenia, STOKES, 39
Valerie, PRUITT, 21
Daisy, WEISS, 36
Craig, MAY, 20
Charles, RICHARDSON, 44
Gabriel, HAYNES, 28
Brandi, TREJO, 32
Brittany, THOMPSON, 46
Brenda, SLOAN, 40
Molly,
Alexandria, BISHOP, 21
Xavier, ROCHA, 36
Dustin, GRAHAM, 49
Javier, RUSSELL, 47
Bailey, MURRAY, 31
Andrea, DUNN, 20
Kristin, MONTES, 46
Morgan, STAFFORD, 37
Luis, HALE, 29
Craig, ROSALES, 18
Troy, TRUJILLO, 14
Lucas, CAMPBELL, 37
Ivan, AYALA, 49
Gregory, LIU, 24
Ashley, SHORT, 37
Christian, LYNCH, 26
